,SiteEnergyUseWN(kBtu),TotalGHGEmissions,log-SiteEnergyUseWN(kBtu),log-TotalGHGEmissions
0,7097539.0,249.43,15.775258803100632,5.523179440356211
1,8765788.0,263.51,15.986367089399694,5.577879057767046
2,75506272.0,2061.48,18.13972629686051,7.631664421192123
3,15078243.0,507.7,16.528763468140426,6.231858451828719
4,6477493.0,208.46,15.683844265134685,5.344532790344999
5,13589025.0,331.61,16.424773113213043,5.80697063245237
6,5203458.0,170.0,15.464834154717007,5.14166355650266
7,15615929.0,576.63,16.563802105042996,6.358933525288002
8,27970822.0,723.4,17.146672489128523,6.585343726009258
9,6292213.0,334.87,15.654823554025032,5.81672418033434
10,22811690.0,675.34,16.94278372566446,6.516695908181574
11,11329230.0,486.25,16.242896757796924,6.18877733838767
12,33922016.0,755.12,17.339574830563492,6.628200093741964
13,7816594.0,411.22,15.871759595702926,6.0215571874151514
14,55378956.0,1596.08,17.82971024201583,7.375932240886465
15,1716043.0,35.17,14.35553219972696,3.5882300459640066
16,3848493.0,102.08,15.163192460906314,4.635505385784164
17,11178456.0,319.73,16.229499001855107,5.770599647693518
18,8131874.0,244.51,15.911302082239878,5.5033376796025575
19,4341706.0,125.57,15.2837781467197,4.840795514804357
20,8362498.0,260.37,15.939267863837149,5.565937027962764
21,1682521.0,10.27,14.335804416195622,2.422144328051685
22,7677473.0,243.37,15.853801144772332,5.498683470172258
23,319916.0,3.71,12.675816866132397,1.5496879080283263
24,46313516.0,333.54,17.650944420293644,5.812756453883862
25,1842702.0,28.78,14.426744073367429,3.393837027255863
26,8317888.0,258.67,15.933919054641976,5.5594115940907205
27,6605535.0,123.08,15.70341864328948,4.8209265188682835
28,2192109.0,56.97,14.600375108272697,4.059925635351641
29,8596269.0,251.72,15.966838946209375,5.53228215649383
30,15660628.0,263.85,16.566660413748394,5.5791636279905354
31,9213841.0,64.23,16.036217476512437,4.177919485808005
32,3379678.0,112.06,15.033291292535026,4.727918651247145
33,6534220.0,77.8,15.692563693650444,4.366912996863833
34,88771488.0,2846.07,18.30157608658863,7.9540456742606365
35,5040382.0,126.83,15.432992629223794,4.8507012561799305
36,6240104.0,209.92,15.646507567127117,5.351478914662269
37,5160438.0,120.73,15.456532211358239,4.801805477421505
38,6921805.0,191.58,15.750187276202762,5.260511651812138
39,6169676.0,170.01,15.63515704443022,5.141722034324962
40,6855303.0,156.59,15.740533217187075,5.05999672363398
41,4055974.0,139.62,15.215701660526074,4.946061216771016
42,5306165.0,169.49,15.4843800985278,5.13867664397714
43,3921971.0,85.51,15.182105146498259,4.460260014192283
44,50629892.0,1858.84,17.74005273057234,7.5282457415018085
45,16886622.0,602.0,16.64203232799979,6.401917196727186
46,4045411.0,74.04,15.213093957428862,4.318021304697969
47,19858448.0,563.78,16.80414011685486,6.336436274787184
48,7192445.0,255.64,15.78854186655901,5.54767432467815
49,1383366.0,39.69,14.14003094059202,3.7059823620135983
50,13429220.0,131.03,16.412943562349486,4.88302916949111
51,20123722.0,509.18,16.8174099258395,6.234763604625756
52,41683652.0,636.96,17.545619595522812,6.458275585454554
53,38835684.0,634.03,17.474850098408275,6.453672241871213
54,3402840.0,45.83,15.040121228912184,3.8465240231954505
55,5249742.0,138.68,15.473689680988647,4.939354092091292
56,5717357.0,196.34,15.559017368540921,5.28492812942902
57,2001478.0,25.2,14.50939696522882,3.265759410767051
58,2385958.0,63.95,14.68511169792153,4.173617743116608
59,7540875.0,229.98,15.835848913607075,5.442331126686941
60,4640342.0,30.95,15.350298843884104,3.4641721808235437
61,2473493.0,14.99,14.721142283934405,2.771963526845863
62,7508759.0,211.49,15.831580896925212,5.358894928433641
63,1711759.0,15.1,14.353032638940833,2.7788192719904172
64,3718511.0,97.38,15.12883414622799,4.588837531367194
65,3864699.0,138.87,15.16739461732745,4.940713419791213
66,4362064.0,127.52,15.288456127054053,4.856084534247658
67,12104908.0,377.09,16.30912163077131,5.93513226251751
68,3326526.0,88.4,15.01743937477025,4.493120682179469
69,2255184.0,14.17,14.628742567465135,2.719319793360441
70,6935723.0,150.23,15.752196004263233,5.018801856762649
71,66980332.0,1874.42,18.019909596951297,7.536587913320257
72,1832205.0,11.24,14.421031263309548,2.50470927708418
73,7753080.0,208.03,15.863600870715203,5.342477782333691
74,10429328.0,181.93,16.160132491254533,5.209103566003207
75,16067596.0,366.61,16.59231519324063,5.907022593593569
76,2763750.0,53.45,14.832099372980956,3.9972828493789696
77,2455369.0,39.29,14.713788020685678,3.696103299203256
78,3804876.0,82.55,15.151794222868439,4.425445255041403
79,5103262.0,123.02,15.445390697028852,4.820442842921731
80,9730278.0,202.97,16.090753127954585,5.317972924206478
81,2234095.0,49.08,14.619347229935093,3.913621726791843
82,3603241.0,53.27,15.097344553725026,3.9939715880753135
83,30468608.0,765.56,17.232207498459378,6.641912973134812
84,8450011.0,65.14,15.949678419450692,4.191773707553646
85,255669168.0,8046.7,19.359394858099225,8.993141615302791
86,3229387.0,80.49,14.987803203562223,4.400480313332128
87,9715644.0,119.09,16.08924803076686,4.788241461672592
88,8829066.0,282.34,15.993559904483309,5.646647589951205
89,6165405.0,177.1,15.634464548048854,5.182345190295616
90,2060926.0,52.94,14.538666439546128,3.987872317711584
91,10298198.0,294.12,16.147479583542125,5.68738205328842
92,7361706.0,212.02,15.811802393161432,5.36138605801502
93,9449743.0,320.35,16.061498209155896,5.772530871817295
94,2785857.0,32.75,14.840066462891546,3.518980417318539
95,10315565.0,368.63,16.149164574528392,5.912502505304687
96,14356216.0,271.32,16.47969364676649,5.60697784538501
97,2458535.0,62.2,14.715076608801969,4.146304301152812
98,6929738.0,178.5,15.75133270811918,5.190175207928333
99,2304835.0,42.8,14.650520082207008,3.7796338173824005
100,4378534.0,56.96,15.292224751517583,4.059753117452481
101,9362176.0,289.43,16.052188406880052,5.67136258340009
102,11474804.0,314.26,16.25566432030244,5.753397695198396
103,2599890.0,44.06,14.77098007903599,3.8079949350040985
104,10026737.0,166.73,16.1207658827142,5.1223555437066635
105,1444495.0,17.86,14.183271029760329,2.937043277205311
106,6075196.0,206.3,15.61972497464865,5.334167019441734
107,1440992.0,8.56,14.180843017232178,2.25758772706331
108,2933003.0,138.96,14.891537711749997,4.9413566674994875
109,1599245.0,26.55,14.28504282613683,3.3160025355989236
110,13484454.0,402.03,16.417048098463017,5.999011000863383
111,1786986.0,12.46,14.396041519352933,2.599722324216582
112,10142007.0,263.53,16.132196564135842,5.577954666416711
113,1369895.0,8.45,14.130245382514056,2.2460147415056513
114,142494256.0,4725.43,18.774812255106458,8.460925439642576
115,2407341.0,30.27,14.694033792255723,3.44265917146975
